datetime,datetime_raw,value,uptimevalue_raw,coverage,coverage_raw,Link Value,Previous Link Value,After Link Value,Status Link,IndexTrue,Selisih,Analisis,Analisis Link Tahap 2,Durasi Hidden Non-Link,Durasi Real Restitusi,Service Level
2017-04-01 04:56:00,42825.91457,2 d 16 h 25 m,231912,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 05:01:00,42825.91804,2 d 16 h 30 m,232213,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 05:06:00,42825.92151,2 d 16 h 35 m,232513,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 05:11:00,42825.92498,2 d 16 h 40 m,232814,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 05:16:00,42825.92846,2 d 16 h 45 m,233114,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 05:21:00,42825.93193,2 d 16 h 50 m,233415,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 05:26:00,42825.9354,2 d 16 h 55 m,233715,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 05:31:00,42825.93887,2 d 17 h 0 m,234016,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 05:36:00,42825.94235,2 d 17 h 5 m,234316,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 05:41:00,42825.94582,2 d 17 h 10 m,234617,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 05:46:00,42825.94929,2 d 17 h 15 m,234917,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 05:51:00,42825.95276,2 d 17 h 20 m,235218,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 05:56:00,42825.95623,2 d 17 h 25 m,235518,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 06:01:00,42825.95971,2 d 17 h 30 m,235819,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 06:06:00,42825.96318,2 d 17 h 35 m,236119,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 06:11:00,42825.96665,2 d 17 h 40 m,236420,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 06:16:00,42825.97012,2 d 17 h 45 m,236720,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 06:21:00,42825.9736,2 d 17 h 50 m,237021,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 06:26:00,42825.97707,2 d 17 h 55 m,237321,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 06:31:00,42825.98054,2 d 18 h 0 m,237621,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 06:36:00,42825.98401,2 d 18 h 5 m,237922,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 06:41:00,42825.98748,2 d 18 h 10 m,238222,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 06:46:00,42825.99096,2 d 18 h 15 m,238523,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 06:51:00,42825.99443,2 d 18 h 20 m,238823,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 06:58:00,42825.99862,2 d 18 h 25 m,239124,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 07:03:00,42826.00209,2 d 18 h 30 m,239424,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
